# After Finding 12 (skip metric collection when no sink configured)
go version go1.26.4 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkProxyProtoHeader/conn           	 6675484	       156.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7780456	       157.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7394941	       157.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7488714	       159.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7431321	       192.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 6889428	       164.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7694856	       164.9 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7600867	       160.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7417136	       158.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7621932	       161.9 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8623107	       137.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9083923	       134.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8908170	       136.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9047703	       133.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8802456	       137.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8788110	       149.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8278226	       144.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8558934	       138.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8630899	       137.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8686492	       138.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8842310	       137.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8495439	       139.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8672305	       146.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8547180	       140.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8677071	       138.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 7337344	       139.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8684632	       139.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 7917002	       139.4 ns/op	     272 B/op	       8 allocs/op
