# AFTER: 1d66caf8 (perf improvements applied)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkProxyProtoHeader/conn           	 6936843	       160.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7396525	       157.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7299714	       158.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 6670167	       160.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7362013	       158.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7802659	       156.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7154110	       157.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7767772	       156.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7655827	       157.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7595498	       161.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8990121	       134.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9036841	       135.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9098850	       131.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9240550	       130.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9202027	       129.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9244585	       148.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 7770990	       140.9 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8834480	       136.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8859720	       137.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8963294	       133.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9041956	       137.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9202591	       131.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9270901	       131.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9143701	       132.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9170776	       139.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8862898	       142.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8570547	       133.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8682700	       131.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9154519	       133.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9098226	       132.9 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/tls            	 3403952	       353.9 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3392353	       354.4 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3438082	       351.8 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3383199	       356.1 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3383174	       358.8 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3314313	       360.0 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3390464	       352.2 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3414375	       361.1 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3220767	       370.8 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls            	 3301348	       356.1 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 3985282	       307.6 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 3919864	       308.4 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 3964266	       302.8 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 4011376	       303.1 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 3903409	       303.7 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 3971420	       304.8 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-4          	 3980626	       306.6 ns/op	     592 B/op	      16 allocs/op
