# BEFORE: 0bf0b646 (benchmarks only, no perf changes)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkProxyProtoHeader/conn           	 6914572	       156.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7760593	       156.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7619593	       157.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7363389	       157.9 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7697115	       161.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 6723333	       162.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7734260	       157.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7611301	       160.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7366174	       155.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn           	 7462803	       157.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9037380	       131.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9198955	       130.7 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9214074	       135.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9170662	       130.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9136777	       133.0 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8037183	       132.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9146910	       131.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 9194379	       131.5 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8755413	       133.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-4         	 8761582	       130.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8190324	       143.2 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8028836	       144.9 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8046975	       146.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8637013	       141.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8963458	       134.6 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9149485	       131.1 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9197054	       131.3 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9008574	       134.4 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 9001921	       132.8 ns/op	     272 B/op	       8 allocs/op
BenchmarkProxyProtoHeader/conn-8         	 8919304	       135.7 ns/op	     272 B/op	       8 allocs/op
